City,Lat,Lon,Zipcode
Chicago,41.951227,-87.643847,60657
Chicago,41.914795,-87.654541,60614
Chicago,41.963227,-87.657,60640
Chicago,41.869438,-87.624677,60605
Chicago,41.911327,-87.635852,60610
Chicago,41.891215,-87.615521,60611
Chicago,41.892725,-87.619625,60611
Chicago,41.860641,-87.610433,60605
Chicago,41.914211,-87.700279,60647
Chicago,41.868998,-87.632669,60607
Chicago,41.909361,-87.791766,60707
Chicago,41.896465,-87.656854,60642
Chicago,41.706775,-87.668724,60643
Chicago,41.891434,-87.626346,60611
Chicago,41.89828,-87.623067,60611
Chicago,41.865806,-87.645298,60607
Chicago,41.962243,-87.656559,60640
Chicago,41.891798,-87.628637,60654
Chicago,41.892303,-87.628766,60654
Chicago,41.870057,-87.645951,60607
Chicago,41.946531,-87.741924,60641
Chicago,41.973103,-87.656925,60640
Chicago,41.953019,-87.756742,60641
Chicago,41.953015,-87.755053,60641
Chicago,41.952856,-87.757824,60641
Chicago,41.952968,-87.758262,60641
Chicago,41.952978,-87.759139,60641
Chicago,41.952996,-87.760689,60641
Chicago,41.95295,-87.761488,60641
Chicago,41.937894,-87.767171,60634
Chicago,41.886018,-87.634191,60606
Chicago,41.898174,-87.621683,60611
Chicago,41.77898,-87.575058,60649
Chicago,41.845682,-87.668788,60608
Chicago,41.914426,-87.634593,60610
Chicago,41.94082,-87.807029,60634
Chicago,41.951227,-87.643847,60657
Chicago,41.914795,-87.654541,60614
Chicago,41.963227,-87.657,60640
Chicago,41.869438,-87.624677,60605
Chicago,41.911327,-87.635852,60610
Chicago,41.891215,-87.615521,60611
Chicago,41.892725,-87.619625,60611
Chicago,41.860641,-87.610433,60605
Chicago,41.914211,-87.700279,60647
Chicago,41.868998,-87.632669,60607
Chicago,41.909361,-87.791766,60707
Chicago,41.896465,-87.656854,60642
Chicago,41.706775,-87.668724,60643
Chicago,41.891434,-87.626346,60611
Chicago,41.89828,-87.623067,60611
Chicago,41.865806,-87.645298,60607
Chicago,41.962243,-87.656559,60640
Chicago,41.891798,-87.628637,60654
Chicago,41.892303,-87.628766,60654
Chicago,41.870057,-87.645951,60607
Chicago,41.946531,-87.741924,60641
Chicago,41.973103,-87.656925,60640
Chicago,41.953019,-87.756742,60641
Chicago,41.953015,-87.755053,60641
Chicago,41.952856,-87.757824,60641
Chicago,41.952968,-87.758262,60641
Chicago,41.952978,-87.759139,60641
Chicago,41.952996,-87.760689,60641
Chicago,41.95295,-87.761488,60641
Chicago,41.937894,-87.767171,60634
Chicago,41.886018,-87.634191,60606
Chicago,41.898174,-87.621683,60611
Chicago,41.77898,-87.575058,60649
Chicago,41.845682,-87.668788,60608
Chicago,41.914426,-87.634593,60610
Chicago,41.94082,-87.807029,60634
Denver,39.703671,-104.929036,80246
Denver,39.663653,-105.034137,80236
Denver,39.640241,-105.06906,80235
Denver,39.850024,-104.675359,80249
Denver,39.850008,-104.67228,80249
Denver,39.743912,-104.982968,80203
Denver,39.74219,-104.991825,80202
Denver,39.719124,-104.957181,80206
Denver,39.849374,-104.675359,80249
Denver,39.78579,-104.767821,80249
Denver,39.732351,-104.959315,80206
Denver,39.691337,-104.935919,80222
Denver,39.651258,-104.875355,80014
Denver,39.772397,-104.95209,80205
Denver,39.759981,-104.917929,80207
Denver,39.730955,-104.93434,80220
Denver,39.743279,-104.997591,80202
Denver,39.768113,-104.863087,80239
Denver,39.767952,-104.863795,80239
Denver,39.739446,-104.957012,80206
Denver,39.689773,-104.923797,80222
Denver,39.690988,-104.922777,80222
Denver,39.849353,-104.67228,80249
Denver,39.687362,-104.906129,80224
Denver,39.850122,-104.671001,80249
Denver,39.848495,-104.67101,80249
Denver,39.849323,-104.671005,80249
Denver,39.850139,-104.676733,80249
Denver,39.84934,-104.676737,80249
Denver,39.848512,-104.676742,80249
Denver,39.847534,-104.676775,80249
Denver,39.711258,-104.950166,80209
Denver,39.743375,-104.991164,80202
Denver,39.717681,-104.956175,80206
Denver,39.71739,-104.957521,80206
Denver,39.67117,-104.938806,80222
Denver,39.62728,-104.895099,80237
Denver,39.63038,-104.898329,80237
Denver,39.65128,-104.892329,80237
Denver,39.650768,-104.883631,80237
Denver,39.668549,-104.927678,80222
Denver,39.668273,-104.927521,80222
Denver,39.715226,-104.974634,80209
Denver,39.71517,-104.974065,80209
Denver,39.715271,-104.974067,80209
Denver,39.715068,-104.974294,80209
Denver,39.742084,-104.952247,80206
Denver,39.741893,-104.953085,80206
Denver,39.742082,-104.952035,80206
Denver,39.695093,-104.911722,80224
Denver,39.694305,-104.910684,80224
Denver,39.78478,-104.954917,80216
Denver,39.62476,-104.905908,80237
Denver,39.624777,-104.908198,80237
Denver,39.705225,-104.876367,80247
Denver,39.706709,-104.87566,80247
Denver,39.70525,-104.875773,80247
Denver,39.704322,-104.876992,80247
Denver,39.703161,-104.877121,80247
Denver,39.703071,-104.876081,80247
Denver,39.70119,-104.876915,80247
